epoch,score,lines,actions
1,15,0,54
2,16,0,79
3,12,0,57
4,10,0,39
5,9,0,32
6,11,0,37
7,10,0,28
8,11,0,30
9,13,0,51
10,12,0,31
11,14,0,73
12,14,0,66
13,11,0,46
14,11,0,40
15,15,0,43
16,16,0,56
17,10,0,43
18,12,0,33
19,11,0,44
20,13,0,68
21,12,0,65
22,13,0,58
23,10,0,33
24,11,0,32
25,14,0,58
26,12,0,40
27,11,0,31
28,13,0,87
29,11,0,32
30,11,0,51
31,11,0,38
32,12,0,53
33,14,0,58
34,13,0,62
35,9,0,22
36,18,0,83
37,10,0,47
38,11,0,31
39,14,0,92
40,13,0,41
41,15,0,102
42,13,0,55
43,11,0,53
44,13,0,46
45,12,0,28
46,14,0,71
47,9,0,20
48,14,0,61
49,12,0,39
50,15,0,90
51,13,0,46
52,11,0,35
53,14,0,34
54,15,0,63
55,17,0,67
56,12,0,26
57,12,0,38
58,12,0,35
59,10,0,32
60,11,0,29
61,15,0,72
62,14,0,69
63,10,0,24
64,11,0,35
65,12,0,38
66,10,0,27
67,9,0,24
68,10,0,28
69,11,0,30
70,15,0,55
71,16,0,81
72,12,0,41
73,12,0,46
74,15,0,70
75,14,0,61
76,11,0,31
77,16,0,52
78,13,0,44
79,12,0,49
80,10,0,36
81,14,0,62
82,11,0,49
83,13,0,53
84,12,0,42
85,12,0,53
86,11,0,31
87,12,0,41
88,11,0,31
89,10,0,62
90,12,0,42
91,14,0,54
92,12,0,60
93,15,0,52
94,14,0,63
95,12,0,80
96,15,0,62
97,16,0,84
98,15,0,59
99,12,0,40
100,12,0,34
101,12,0,44
102,11,0,37
103,12,0,46
104,13,0,46
105,14,0,53
106,10,0,41
107,10,0,38
108,12,0,48
109,12,0,31
110,13,0,31
111,11,0,56
112,12,0,52
113,13,0,48
114,12,0,46
115,11,0,64
116,11,0,53
117,12,0,51
118,11,0,39
119,16,0,77
120,12,0,45
121,20,0,103
122,15,0,64
123,14,0,57
124,10,0,23
125,13,0,56
126,16,0,66
127,14,0,63
128,15,0,78
129,11,0,47
130,14,0,65
131,11,0,34
132,15,0,66
133,15,0,40
134,13,0,61
135,12,0,44
136,9,0,26
137,10,0,52
138,14,0,50
139,13,0,42
140,11,0,29
141,13,0,37
142,12,0,46
143,13,0,28
144,9,0,27
145,11,0,34
146,17,0,85
147,15,0,58
148,14,0,80
149,10,0,34
150,11,0,49
151,9,0,27
152,13,0,70
153,14,0,67
154,12,0,60
155,11,0,42
156,15,0,84
157,14,0,52
158,16,0,85
159,13,0,48
160,15,0,67
161,9,0,21
162,13,0,33
163,13,0,50
164,13,0,41
