epoch,score,lines,actions
1,15,0,54
2,16,0,79
3,12,0,57
4,10,0,39
5,9,0,32
6,11,0,37
7,10,0,28
8,11,0,30
9,13,0,51
10,12,0,31
11,14,0,73
12,14,0,66
13,11,0,46
14,11,0,40
15,15,0,43
16,16,0,56
17,10,0,43
18,12,0,33
19,11,0,44
20,13,0,68
21,12,0,65
22,13,0,58
23,10,0,33
24,13,0,44
25,11,0,52
26,11,0,49
27,11,0,29
28,15,0,84
29,11,0,38
30,9,0,26
31,11,0,30
32,11,0,44
33,12,0,46
34,13,0,47
35,11,0,42
36,11,0,27
37,10,0,21
38,15,0,62
39,16,0,61
40,13,0,48
41,12,0,70
42,11,0,32
43,9,0,18
44,11,0,27
45,15,0,63
46,10,0,43
47,12,0,36
48,13,0,50
49,12,0,34
50,15,0,67
51,13,0,41
52,13,0,62
53,11,0,52
54,12,0,61
55,15,0,61
56,13,0,42
57,10,0,24
58,15,0,64
59,12,0,58
60,12,0,31
61,11,0,35
62,14,0,42
63,14,0,46
64,11,0,31
65,10,0,27
66,15,0,62
67,14,0,48
68,10,0,31
69,10,0,34
70,13,0,36
71,13,0,45
72,12,0,28
73,11,0,35
74,15,0,57
75,12,0,74
76,15,0,65
77,10,0,32
78,16,0,74
79,12,0,44
80,9,0,33
81,12,0,36
82,15,0,52
83,8,0,27
84,12,0,62
85,16,0,66
86,14,0,53
87,13,0,39
88,14,0,40
89,14,0,58
90,14,0,60
91,11,0,30
92,11,0,42
93,11,0,52
94,14,0,72
95,14,0,61
96,12,0,40
97,15,0,63
98,12,0,41
99,10,0,55
100,16,0,87
101,18,0,79
102,12,0,37
103,13,0,36
104,16,0,71
105,14,0,40
106,13,0,54
107,13,0,47
108,12,0,52
109,10,0,41
110,8,0,25
111,11,0,40
112,15,0,52
113,12,0,21
114,11,0,62
115,15,0,82
116,12,0,34
117,9,0,28
118,16,0,74
119,13,0,62
120,13,0,58
121,15,0,54
122,11,0,47
123,14,0,49
124,15,0,76
125,15,0,68
126,13,0,54
127,12,0,39
128,9,0,19
129,12,0,45
130,12,0,50
131,13,0,73
132,15,0,70
133,13,0,55
134,12,0,41
135,13,0,52
136,11,0,35
137,12,0,50
138,12,0,31
139,16,0,70
140,13,0,49
141,15,0,51
142,17,0,80
143,14,0,43
144,13,0,49
145,10,0,40
146,14,0,36
147,12,0,42
148,14,0,48
149,13,0,56
150,15,0,57
151,14,0,83
152,11,0,40
153,11,0,23
154,14,0,41
155,16,0,74
156,11,0,55
157,11,0,41
158,14,0,49
159,11,0,26
160,11,0,37
161,11,0,54
162,12,0,41
163,15,0,84
164,15,0,65
