epoch,score,lines,actions
1,16,0,59
2,16,0,52
3,18,0,71
4,18,0,67
5,16,0,65
6,22,0,94
7,27,0,113
8,19,0,79
9,17,0,66
10,20,0,83
11,11,0,54
12,21,0,84
13,20,0,88
14,24,0,93
15,23,0,91
16,18,0,64
17,21,0,82
18,23,0,100
19,19,0,78
20,21,0,80
21,21,0,91
22,14,0,55
23,19,0,79
24,20,0,85
25,22,0,88
26,22,0,91
27,17,0,64
28,23,0,89
29,25,0,103
30,21,0,80
31,22,0,89
32,17,0,68
33,15,0,52
34,19,0,75
35,16,0,61
36,19,0,78
37,17,0,71
38,19,0,73
39,13,0,43
40,21,0,73
41,20,0,74
42,25,0,106
43,20,0,77
44,18,0,65
45,21,0,82
46,18,0,71
47,14,0,57
48,18,0,64
49,22,0,85
50,17,0,70
51,21,0,78
52,21,0,84
53,12,0,30
54,20,0,76
55,17,0,67
56,19,0,79
57,20,0,72
58,16,0,57
59,19,0,72
60,22,0,79
61,22,0,87
62,31,1,80
63,17,0,66
64,14,0,50
65,14,0,57
66,19,0,74
67,17,0,59
68,22,0,87
69,20,0,69
70,14,0,46
71,18,0,68
72,18,0,73
73,24,0,102
74,23,0,92
75,13,0,51
76,17,0,61
77,22,0,88
78,25,0,103
79,23,0,96
80,21,0,79
81,18,0,60
82,16,0,66
83,20,0,86
84,21,0,89
85,20,0,72
86,23,0,90
87,24,0,83
88,30,1,77
89,22,0,90
90,21,0,77
91,20,0,81
92,17,0,56
93,20,0,75
94,20,0,80
95,21,0,83
96,11,0,52
97,16,0,61
98,21,0,90
99,24,0,101
100,20,0,94
101,34,1,111
102,24,0,104
103,21,0,96
104,15,0,55
105,20,0,75
106,18,0,75
107,17,0,68
108,19,0,71
109,17,0,71
110,20,0,77
111,24,0,98
112,13,0,53
113,22,0,87
114,20,0,68
115,22,0,84
116,17,0,60
117,23,0,98
118,16,0,54
119,18,0,69
120,38,1,116
121,19,0,63
122,23,0,103
123,20,0,72
124,22,0,94
125,20,0,80
126,15,0,69
127,24,0,95
128,20,0,86
129,15,0,58
130,15,0,59
131,18,0,71
132,17,0,54
133,24,0,87
134,19,0,79
135,25,0,103
136,23,0,95
137,24,0,113
138,17,0,66
139,28,0,110
140,16,0,66
141,25,0,97
142,24,0,104
143,21,0,88
144,12,0,50
145,14,0,50
146,23,0,94
147,18,0,61
148,25,0,98
149,26,0,108
150,22,0,95
151,17,0,74
152,14,0,57
153,24,0,95
154,20,0,87
155,22,0,90
156,17,0,61
157,22,0,91
158,23,0,81
159,17,0,56
160,17,0,54
161,21,0,83
162,14,0,49
163,22,0,85
164,21,0,85
165,20,0,73
166,26,0,97
167,24,0,98
168,20,0,73
169,18,0,75
170,17,0,60
171,20,0,82
172,18,0,77
173,12,0,40
174,24,0,102
175,20,0,85
176,18,0,65
177,24,0,91
178,20,0,72
179,18,0,62
180,11,0,42
181,25,0,95
182,24,0,108
183,25,0,105
184,23,0,90
185,23,0,100
186,20,0,75
187,23,0,99
188,17,0,66
189,20,0,84
190,20,0,83
191,22,0,92
192,16,0,55
193,22,0,81
194,22,0,90
195,18,0,71
196,17,0,64
197,15,0,49
198,16,0,56
199,22,0,95
200,23,0,91
201,15,0,63
202,25,0,86
203,19,0,68
204,18,0,60
205,22,0,83
206,23,0,90
207,20,0,77
208,19,0,74
209,19,0,66
210,19,0,77
211,20,0,79
212,25,0,106
213,17,0,70
214,17,0,63
215,18,0,74
216,14,0,54
217,22,0,91
218,14,0,58
219,14,0,50
220,19,0,73
221,15,0,57
222,17,0,78
223,20,0,74
224,25,0,101
225,18,0,65
226,18,0,74
227,25,0,108
228,20,0,78
229,22,0,93
230,19,0,67
231,19,0,73
232,13,0,44
233,20,0,78
234,26,0,103
235,22,0,89
236,11,0,38
237,18,0,69
238,20,0,80
239,17,0,69
240,22,0,84
241,15,0,55
242,14,0,56
243,22,0,84
244,22,0,93
245,21,0,75
246,20,0,76
247,20,0,65
248,21,0,87
249,22,0,87
250,17,0,66
251,16,0,59
252,17,0,72
253,19,0,70
254,18,0,66
255,22,0,92
256,23,0,94
257,19,0,71
258,22,0,83
259,24,0,105
260,23,0,77
261,19,0,88
262,16,0,52
263,21,0,86
264,14,0,52
265,18,0,79
266,22,0,87
267,25,0,100
268,20,0,83
269,25,0,108
270,21,0,70
271,25,0,102
272,23,0,103
273,19,0,76
274,18,0,64
275,16,0,58
276,16,0,56
277,16,0,64
278,13,0,44
279,13,0,48
280,18,0,65
281,16,0,58
282,23,0,94
283,13,0,51
284,26,0,106
285,22,0,86
286,21,0,82
287,20,0,74
288,18,0,60
289,16,0,62
290,22,0,97
291,19,0,78
292,17,0,61
293,23,0,88
294,20,0,79
295,20,0,88
296,16,0,56
297,15,0,48
298,17,0,68
299,19,0,69
300,18,0,66
301,25,0,105
302,22,0,83
303,20,0,88
304,20,0,75
305,21,0,90
306,21,0,86
307,19,0,78
308,18,0,72
309,12,0,45
310,26,0,103
311,24,0,90
312,18,0,66
313,22,0,85
314,20,0,84
315,23,0,106
316,23,0,94
317,22,0,94
318,21,0,75
319,16,0,55
320,22,0,83
321,22,0,87
322,19,0,71
323,18,0,77
324,21,0,88
325,18,0,62
326,19,0,69
327,20,0,76
328,26,0,105
329,19,0,75
330,18,0,77
331,25,0,98
332,19,0,74
333,24,0,102
334,15,0,61
335,20,0,81
336,18,0,66
337,19,0,73
338,21,0,77
339,23,0,86
340,24,0,98
341,15,0,58
342,13,0,43
343,20,0,84
344,22,0,93
345,18,0,70
346,19,0,76
347,20,0,74
348,18,0,69
349,14,0,52
350,20,0,88
351,19,0,71
352,21,0,84
353,19,0,77
354,13,0,44
355,20,0,79
356,24,0,97
357,20,0,72
358,19,0,58
359,19,0,79
360,19,0,70
361,20,0,76
362,19,0,80
363,18,0,79
364,26,0,113
365,19,0,78
366,22,0,92
367,20,0,74
368,20,0,80
369,20,0,73
370,19,0,72
371,19,0,73
372,27,0,116
373,21,0,87
374,11,0,33
375,18,0,71
376,21,0,72
377,20,0,71
378,21,0,84
379,16,0,57
380,20,0,77
381,21,0,91
382,21,0,97
383,19,0,80
384,23,0,89
385,26,0,100
386,21,0,77
387,18,0,73
388,17,0,62
389,14,0,41
390,22,0,90
391,13,0,51
392,17,0,66
393,15,0,51
394,16,0,57
395,16,0,64
396,21,0,91
397,23,0,91
398,17,0,57
399,20,0,74
400,27,0,120
401,22,0,91
402,20,0,81
403,16,0,53
404,15,0,54
405,26,0,116
406,20,0,84
407,19,0,75
408,17,0,55
409,18,0,69
410,20,0,83
411,17,0,65
412,22,0,101
413,17,0,69
414,20,0,78
415,17,0,59
416,14,0,55
417,25,0,97
418,16,0,67
419,21,0,76
420,19,0,68
421,19,0,73
422,17,0,50
423,17,0,70
424,22,0,91
425,21,0,80
426,21,0,83
427,13,0,44
428,18,0,66
429,20,0,80
430,23,0,103
431,20,0,87
432,22,0,98
433,13,0,41
434,21,0,74
435,20,0,76
436,14,0,58
437,19,0,75
438,15,0,58
439,22,0,87
440,21,0,90
441,25,0,108
442,22,0,98
443,17,0,62
444,24,0,106
445,13,0,44
446,18,0,78
447,19,0,72
448,19,0,86
449,15,0,57
450,20,0,74
451,21,0,101
452,19,0,68
453,21,0,81
454,22,0,88
455,22,0,95
456,36,1,115
457,23,0,84
458,23,0,92
459,17,0,75
460,21,0,83
461,24,0,98
462,18,0,68
463,22,0,77
464,25,0,106
465,17,0,59
466,25,0,107
467,14,0,50
468,19,0,74
469,23,0,99
470,13,0,57
471,15,0,55
472,24,0,104
473,19,0,76
474,20,0,93
475,18,0,77
476,24,0,104
477,13,0,54
478,18,0,73
479,15,0,58
480,21,0,85
481,19,0,72
482,17,0,70
483,27,0,123
484,15,0,58
485,20,0,77
486,19,0,61
487,19,0,76
488,17,0,66
489,27,0,119
490,22,0,94
491,20,0,75
492,15,0,48
493,23,0,100
494,16,0,65
495,14,0,62
496,12,0,51
497,21,0,89
498,20,0,89
499,21,0,86
500,20,0,88
501,16,0,56
502,22,0,90
503,18,0,71
504,22,0,92
505,23,0,107
506,21,0,89
507,20,0,83
508,23,0,102
509,24,0,91
510,18,0,63
511,21,0,83
512,23,0,85
513,18,0,85
514,14,0,54
515,13,0,48
516,22,0,89
517,22,0,91
518,20,0,77
519,19,0,74
520,16,0,58
521,18,0,62
522,20,0,82
523,16,0,58
524,17,0,70
525,25,0,102
526,13,0,56
527,17,0,60
528,17,0,63
529,16,0,61
530,28,0,126
531,23,0,84
532,18,0,69
533,21,0,97
534,19,0,75
535,35,1,117
536,17,0,64
537,19,0,69
538,22,0,90
539,16,0,64
540,13,0,50
541,19,0,73
542,15,0,51
543,22,0,91
544,38,1,125
545,24,0,92
546,21,0,86
547,21,0,81
548,19,0,74
549,20,0,85
550,21,0,82
551,15,0,51
552,17,0,69
553,14,0,56
554,22,0,96
555,18,0,63
556,15,0,51
557,17,0,63
558,20,0,82
559,26,0,113
560,25,0,98
561,11,0,48
562,15,0,48
563,23,0,98
564,23,0,91
565,22,0,89
566,15,0,63
567,15,0,61
568,18,0,70
569,22,0,93
570,14,0,59
571,21,0,86
572,14,0,57
573,16,0,59
574,21,0,72
575,21,0,91
576,16,0,61
577,20,0,80
578,20,0,76
579,14,0,49
580,16,0,69
581,22,0,94
582,12,0,41
583,16,0,57
584,23,0,97
585,16,0,73
586,16,0,53
587,15,0,60
588,12,0,38
589,21,0,77
590,24,0,95
591,18,0,69
592,16,0,44
593,19,0,85
594,18,0,64
595,18,0,72
596,16,0,61
597,20,0,89
598,12,0,33
599,23,0,84
600,15,0,64
601,17,0,72
602,19,0,71
603,20,0,94
604,22,0,97
605,23,0,105
606,16,0,69
607,17,0,67
608,21,0,86
609,20,0,93
610,21,0,95
611,17,0,72
612,23,0,82
613,20,0,86
614,15,0,62
615,21,0,89
616,17,0,80
617,19,0,69
618,14,0,58
