epoch,score,lines,actions
1,16,0,59
2,16,0,52
3,18,0,71
4,18,0,67
5,16,0,65
6,22,0,94
7,27,0,113
8,19,0,79
9,17,0,66
10,20,0,83
11,11,0,54
12,21,0,84
13,20,0,86
14,24,0,93
15,23,0,91
16,18,0,64
17,21,0,82
18,23,0,100
19,19,0,78
20,21,0,80
21,21,0,91
22,14,0,55
23,20,0,74
24,18,0,75
25,20,0,74
26,16,0,62
27,17,0,54
28,19,0,72
29,21,0,80
30,17,0,69
31,21,0,86
32,21,0,85
33,16,0,62
34,18,0,69
35,23,0,103
36,20,0,78
37,13,0,55
38,18,0,70
39,21,0,73
40,13,0,43
41,22,0,90
42,16,0,62
43,18,0,70
44,23,0,96
45,24,0,84
46,19,0,81
47,26,0,105
48,18,0,74
49,20,0,67
50,24,0,103
51,17,0,63
52,20,0,83
53,18,0,65
54,21,0,74
55,22,0,103
56,22,0,80
57,22,0,80
58,16,0,65
59,20,0,77
60,17,0,58
61,22,0,86
62,15,0,59
63,23,0,91
64,11,0,36
65,16,0,62
66,16,0,54
67,16,0,51
68,20,0,81
69,20,0,78
70,19,0,70
71,24,0,106
72,20,0,80
73,17,0,50
74,21,0,74
75,21,0,80
76,21,0,83
77,18,0,60
78,25,0,92
79,17,0,62
80,25,0,101
81,24,0,94
82,37,1,122
83,19,0,67
84,19,0,71
85,16,0,64
86,23,0,87
87,23,0,96
88,21,0,73
89,17,0,63
90,22,0,80
91,19,0,67
92,19,0,82
93,15,0,59
94,21,0,72
95,21,0,81
96,16,0,51
97,14,0,45
98,20,0,77
99,19,0,70
100,14,0,60
101,22,0,77
102,18,0,68
103,13,0,52
104,22,0,89
105,26,0,117
106,23,0,88
107,21,0,73
108,27,0,103
109,17,0,59
110,16,0,61
111,22,0,76
112,13,0,45
113,18,0,71
114,16,0,56
115,18,0,70
116,20,0,88
117,22,0,91
118,13,0,40
119,14,0,48
120,21,0,74
121,20,0,98
122,19,0,80
123,21,0,93
124,16,0,55
125,23,0,94
126,19,0,80
127,14,0,66
128,18,0,71
129,28,0,114
130,17,0,54
131,22,0,95
132,16,0,46
133,14,0,45
134,24,0,91
135,19,0,69
136,18,0,76
137,20,0,77
138,19,0,74
139,21,0,81
140,18,0,72
141,23,0,91
142,16,0,56
143,14,0,41
144,22,0,77
145,20,0,79
146,21,0,93
147,18,0,63
148,21,0,82
149,14,0,44
150,23,0,94
151,15,0,63
152,20,0,82
153,22,0,87
154,22,0,91
155,22,0,95
156,22,0,88
157,13,0,59
158,17,0,58
159,20,0,87
160,22,0,88
161,18,0,71
162,18,0,66
163,23,0,96
164,21,0,75
165,19,0,62
166,15,0,59
167,25,0,101
168,17,0,71
169,17,0,55
170,17,0,64
171,20,0,81
172,17,0,58
173,21,0,80
174,18,0,75
175,21,0,84
176,17,0,70
177,21,0,88
178,17,0,70
179,23,0,98
180,15,0,49
181,18,0,61
182,15,0,50
183,22,0,82
184,29,1,82
185,18,0,82
186,19,0,65
187,18,0,60
188,20,0,85
189,16,0,58
190,20,0,82
191,25,0,94
192,17,0,67
193,29,0,111
194,22,0,82
195,22,0,92
196,13,0,43
197,26,0,99
198,24,0,95
199,20,0,84
200,18,0,70
201,17,0,57
202,19,0,70
203,18,0,71
204,21,0,76
205,16,0,68
206,14,0,41
207,17,0,67
208,19,0,70
209,19,0,79
210,18,0,75
211,17,0,58
212,11,0,28
213,18,0,61
214,21,0,80
215,18,0,74
216,25,0,101
217,15,0,60
218,21,0,81
219,23,0,89
220,16,0,53
221,19,0,82
222,21,0,94
223,13,0,47
224,17,0,59
225,18,0,67
226,25,0,95
227,23,0,94
228,18,0,82
229,19,0,70
230,22,0,86
231,13,0,50
232,22,0,83
233,15,0,50
234,13,0,49
235,19,0,66
236,19,0,68
237,21,0,80
238,17,0,60
239,16,0,61
240,16,0,55
241,19,0,71
242,17,0,70
243,23,0,93
244,24,0,86
245,19,0,71
246,17,0,59
247,17,0,70
248,21,0,86
249,24,0,101
250,16,0,63
251,18,0,61
252,19,0,62
253,17,0,71
254,20,0,90
255,16,0,59
256,17,0,57
257,19,0,61
258,18,0,73
259,21,0,76
260,23,0,89
261,17,0,63
262,16,0,56
263,20,0,79
264,18,0,83
265,36,1,109
266,14,0,51
267,16,0,66
268,16,0,71
269,23,0,92
270,23,0,93
271,22,0,86
272,15,0,58
273,14,0,45
274,17,0,67
275,13,0,60
276,12,0,55
277,20,0,73
278,13,0,47
279,23,0,91
280,19,0,62
281,15,0,52
282,13,0,50
283,17,0,73
284,20,0,81
285,19,0,81
286,17,0,67
287,17,0,72
288,13,0,46
289,21,0,79
290,22,0,91
291,19,0,68
292,17,0,76
293,16,0,55
294,22,0,80
295,13,0,40
296,24,0,95
297,22,0,92
298,21,0,82
299,21,0,84
300,22,0,96
301,22,0,87
302,24,0,91
303,22,0,91
304,21,0,85
305,17,0,64
306,15,0,53
307,16,0,73
308,18,0,69
309,19,0,73
310,17,0,64
311,18,0,73
312,19,0,59
313,18,0,81
314,19,0,70
315,16,0,61
316,17,0,65
317,19,0,79
318,15,0,44
319,18,0,72
320,21,0,85
321,16,0,49
322,17,0,75
323,13,0,44
324,22,0,91
325,21,0,77
326,17,0,55
327,14,0,56
328,16,0,60
329,16,0,56
330,18,0,68
331,16,0,60
332,20,0,71
333,10,0,36
334,13,0,36
335,18,0,70
336,20,0,86
337,16,0,53
338,20,0,74
339,17,0,61
340,17,0,63
341,18,0,66
342,17,0,76
343,18,0,64
344,19,0,62
345,13,0,48
346,21,0,80
347,20,0,76
348,21,0,94
349,20,0,81
350,21,0,83
351,23,0,89
352,21,0,84
353,21,0,75
354,24,0,94
355,15,0,49
356,18,0,63
357,18,0,67
358,17,0,64
359,25,0,110
360,32,1,107
361,15,0,56
362,22,0,92
363,22,0,86
364,18,0,64
365,18,0,71
366,21,0,82
367,19,0,65
368,24,0,104
369,24,0,104
370,20,0,79
371,17,0,65
372,21,0,86
373,15,0,57
374,13,0,58
375,17,0,60
376,12,0,40
377,14,0,49
378,14,0,66
379,17,0,68
380,19,0,77
381,18,0,69
382,17,0,58
383,22,0,76
384,16,0,58
385,13,0,40
386,18,0,72
387,23,0,102
388,17,0,59
389,16,0,64
390,15,0,45
391,20,0,78
392,18,0,70
393,11,0,49
394,16,0,52
395,24,0,97
396,12,0,38
397,19,0,66
398,12,0,44
399,21,0,84
400,13,0,49
401,20,0,72
402,16,0,62
403,19,0,73
404,22,0,79
405,18,0,72
406,18,0,68
407,17,0,56
408,12,0,42
409,21,0,97
410,19,0,74
411,16,0,67
412,16,0,63
413,17,0,69
414,20,0,86
415,19,0,68
416,18,0,69
417,16,0,58
418,12,0,52
419,19,0,72
420,17,0,58
421,22,0,74
422,14,0,53
423,21,0,74
424,13,0,51
425,16,0,86
426,20,0,72
427,22,0,82
428,19,0,87
429,19,0,68
430,20,0,88
431,13,0,46
432,19,0,69
433,19,0,71
434,19,0,65
435,18,0,86
436,12,0,59
437,21,0,82
438,22,0,93
439,17,0,53
440,18,0,68
441,16,0,62
442,18,0,64
443,20,0,72
444,15,0,74
445,14,0,60
446,20,0,78
447,16,0,63
448,20,0,78
449,19,0,80
450,16,0,70
451,25,0,96
452,19,0,79
453,26,0,104
454,24,0,93
455,21,0,90
456,14,0,60
457,17,0,69
458,13,0,61
459,19,0,71
460,14,0,58
461,18,0,79
462,19,0,76
463,19,0,82
464,15,0,55
465,16,0,64
466,17,0,73
467,20,0,75
468,13,0,51
469,16,0,54
470,17,0,64
471,16,0,61
472,17,0,66
473,17,0,64
474,13,0,47
475,18,0,76
476,16,0,67
477,20,0,73
478,19,0,73
479,15,0,47
480,21,0,96
481,16,0,55
482,16,0,55
483,15,0,56
484,16,0,62
485,19,0,67
486,17,0,60
487,13,0,49
488,19,0,69
489,24,0,102
490,14,0,50
491,16,0,59
492,15,0,55
493,17,0,63
494,19,0,64
495,20,0,84
496,18,0,79
497,21,0,69
498,13,0,59
499,19,0,73
500,22,0,84
501,17,0,63
502,18,0,58
503,19,0,78
504,17,0,61
505,22,0,87
506,16,0,67
507,10,0,39
508,17,0,58
509,17,0,70
510,18,0,78
511,15,0,50
512,17,0,68
513,19,0,81
514,21,0,96
515,21,0,92
516,12,0,45
517,18,0,62
518,19,0,68
519,14,0,61
520,20,0,83
521,19,0,84
522,19,0,79
523,16,0,72
524,17,0,72
525,17,0,63
526,14,0,56
527,15,0,59
528,18,0,75
529,19,0,68
530,15,0,55
531,16,0,57
532,14,0,51
533,14,0,54
534,14,0,54
535,23,0,88
536,10,0,48
537,20,0,76
538,23,0,90
539,21,0,75
540,17,0,64
541,14,0,66
542,17,0,58
543,23,0,89
544,13,0,41
545,17,0,77
546,18,0,64
547,18,0,67
548,15,0,53
549,17,0,80
550,14,0,54
551,18,0,67
552,19,0,83
553,19,0,69
554,19,0,80
555,18,0,55
556,24,0,100
557,16,0,67
558,17,0,75
559,18,0,70
560,22,0,78
561,20,0,81
562,17,0,62
563,11,0,50
564,24,0,92
565,19,0,76
566,17,0,59
567,19,0,65
568,20,0,86
569,17,0,63
570,18,0,68
571,19,0,85
572,18,0,59
573,11,0,40
574,17,0,75
575,17,0,62
576,18,0,75
577,20,0,77
578,16,0,62
579,16,0,53
580,15,0,60
581,17,0,71
582,17,0,75
583,17,0,62
584,18,0,77
585,18,0,65
586,18,0,66
587,14,0,52
588,19,0,72
589,16,0,68
590,19,0,85
591,21,0,74
592,21,0,94
593,16,0,66
594,20,0,74
595,18,0,64
596,11,0,38
597,16,0,58
598,18,0,65
599,28,1,77
600,20,0,85
601,16,0,67
602,17,0,67
603,22,0,86
604,18,0,72
605,19,0,77
606,20,0,76
607,20,0,83
608,21,0,94
609,16,0,67
610,19,0,81
611,16,0,55
612,18,0,71
613,16,0,75
614,13,0,46
615,21,0,79
616,21,0,84
617,21,0,95
618,13,0,57
