epoch,score,lines,actions
1,22,0,89
2,22,0,92
3,19,0,73
4,23,0,96
5,20,0,80
6,16,0,65
7,20,0,78
8,20,0,81
9,23,0,100
10,21,0,79
11,18,0,73
12,21,0,94
13,18,0,70
14,20,0,86
15,15,0,56
16,18,0,78
17,16,0,60
18,22,0,89
19,17,0,70
20,23,0,81
21,19,0,76
22,21,0,85
23,21,0,83
24,19,0,77
25,21,0,96
26,35,1,100
27,17,0,75
28,18,0,67
29,25,0,93
30,18,0,70
31,18,0,67
32,18,0,69
33,19,0,77
34,18,0,69
35,20,0,96
36,21,0,84
37,19,0,71
38,17,0,67
39,12,0,54
40,17,0,59
41,21,0,99
42,19,0,79
43,18,0,75
44,18,0,63
45,16,0,60
46,20,0,85
47,13,0,61
48,18,0,73
49,18,0,69
50,22,0,95
51,21,0,70
52,13,0,49
53,18,0,65
54,22,0,87
55,23,0,85
56,19,0,85
57,19,0,67
58,19,0,83
59,19,0,77
60,16,0,53
61,20,0,88
62,22,0,82
63,20,0,81
64,20,0,83
65,12,0,43
66,15,0,53
67,20,0,84
68,24,0,99
69,18,0,65
70,16,0,68
71,19,0,69
72,16,0,61
73,18,0,56
74,19,0,68
75,21,0,75
76,18,0,69
77,13,0,41
78,20,0,80
79,22,0,80
80,23,0,93
81,21,0,75
82,18,0,67
83,32,1,93
84,24,0,87
85,17,0,56
86,22,0,90
87,20,0,78
88,15,0,58
89,15,0,51
90,13,0,54
91,19,0,73
92,19,0,67
93,13,0,44
94,15,0,50
95,19,0,83
96,21,0,80
97,19,0,76
98,19,0,77
99,18,0,69
100,21,0,81
101,21,0,87
102,22,0,91
103,19,0,66
104,22,0,91
105,16,0,63
106,22,0,88
107,21,0,81
108,21,0,75
109,24,0,83
110,19,0,79
111,23,0,85
112,23,0,93
113,20,0,85
114,14,0,57
115,20,0,84
116,17,0,67
117,15,0,53
118,19,0,75
119,24,0,100
120,16,0,55
121,19,0,71
122,23,0,86
123,17,0,61
124,21,0,77
125,22,0,76
126,18,0,70
127,23,0,88
128,16,0,59
129,24,0,91
130,15,0,61
131,17,0,75
132,17,0,82
133,14,0,45
134,21,0,78
135,15,0,53
136,16,0,61
137,16,0,63
138,17,0,65
139,18,0,66
140,23,0,93
141,11,0,45
142,23,0,83
143,12,0,41
144,26,0,105
145,21,0,83
146,19,0,71
147,24,0,95
148,23,0,82
149,22,0,86
150,25,0,100
151,18,0,72
152,22,0,88
153,22,0,70
154,22,0,92
155,19,0,66
156,24,0,97
157,22,0,88
158,26,0,110
159,13,0,55
160,24,0,113
161,19,0,82
162,12,0,43
163,20,0,67
164,26,0,97
165,22,0,96
166,22,0,93
167,19,0,68
168,19,0,76
169,23,0,101
170,24,0,99
171,20,0,73
172,17,0,56
173,19,0,76
174,21,0,77
175,14,0,58
176,21,0,73
177,19,0,79
178,28,1,69
179,16,0,61
180,16,0,77
181,18,0,67
182,22,0,94
183,22,0,101
184,19,0,75
185,20,0,80
186,23,0,94
187,22,0,91
188,15,0,53
189,18,0,69
190,23,0,91
191,17,0,67
192,14,0,50
193,11,0,44
194,20,0,79
195,25,0,104
196,23,0,92
197,23,0,85
198,12,0,44
199,18,0,67
