epoch,score,lines,actions
1,22,0,89
2,22,0,92
3,19,0,73
4,23,0,96
5,20,0,80
6,16,0,65
7,20,0,78
8,20,0,81
9,23,0,100
10,21,0,79
11,18,0,73
12,21,0,94
13,18,0,70
14,19,0,84
15,16,0,53
16,21,0,83
17,25,0,116
18,18,0,73
19,20,0,79
20,26,0,107
21,21,0,88
22,18,0,75
23,19,0,64
24,16,0,61
25,23,0,91
26,25,0,97
27,18,0,65
28,27,0,99
29,16,0,54
30,21,0,89
31,22,0,90
32,19,0,65
33,22,0,101
34,19,0,75
35,23,0,104
36,20,0,72
37,18,0,60
38,20,0,68
39,12,0,42
40,18,0,70
41,16,0,50
42,28,0,127
43,16,0,53
44,19,0,77
45,20,0,76
46,18,0,86
47,19,0,68
48,22,0,88
49,17,0,71
50,37,1,115
51,21,0,77
52,18,0,61
53,20,0,78
54,23,0,85
55,18,0,65
56,20,0,70
57,19,0,77
58,21,0,75
59,21,0,87
60,20,0,81
61,22,0,76
62,23,0,100
63,18,0,69
64,17,0,68
65,21,0,76
66,15,0,56
67,19,0,63
68,18,0,79
69,15,0,46
70,18,0,77
71,16,0,59
72,19,0,81
73,19,0,72
74,25,0,102
75,22,0,94
76,22,0,81
77,20,0,71
78,24,0,97
79,21,0,77
80,19,0,78
81,18,0,69
82,20,0,69
83,18,0,72
84,22,0,96
85,17,0,61
86,20,0,75
87,24,0,102
88,14,0,50
89,19,0,73
90,23,0,96
91,14,0,52
92,18,0,63
93,24,0,94
94,22,0,84
95,21,0,73
96,17,0,71
97,23,0,85
98,18,0,61
99,18,0,69
100,21,0,76
101,16,0,68
102,17,0,76
103,18,0,74
104,21,0,79
105,19,0,64
106,17,0,73
107,20,0,73
108,24,0,104
109,25,0,92
110,19,0,68
111,22,0,87
112,21,0,89
113,9,0,27
114,21,0,80
115,33,1,94
116,32,1,86
117,16,0,60
118,22,0,87
119,24,0,93
120,13,0,48
121,23,0,90
122,14,0,50
123,18,0,76
124,18,0,71
125,21,0,71
126,18,0,80
127,22,0,84
128,22,0,85
129,23,0,88
130,19,0,80
131,17,0,65
132,25,0,106
133,19,0,59
134,21,0,81
135,20,0,83
136,22,0,87
137,27,0,99
138,18,0,81
139,17,0,64
140,23,0,86
141,26,0,107
142,24,0,90
143,24,0,101
144,19,0,69
145,19,0,82
146,17,0,57
147,14,0,39
148,15,0,59
149,16,0,62
150,23,0,91
151,16,0,63
152,20,0,83
153,22,0,83
154,21,0,94
155,15,0,56
156,12,0,43
157,15,0,50
158,13,0,41
159,17,0,74
160,16,0,58
161,15,0,54
162,24,0,105
163,22,0,90
164,15,0,48
165,20,0,60
166,21,0,97
167,21,0,100
168,18,0,61
169,22,0,82
170,20,0,81
171,19,0,73
172,26,0,99
173,25,0,105
174,18,0,72
175,17,0,72
176,20,0,76
177,16,0,67
178,22,0,86
179,20,0,81
180,19,0,76
181,19,0,83
182,23,0,97
183,25,0,114
184,19,0,69
185,22,0,84
186,19,0,63
187,15,0,54
188,17,0,69
189,27,0,107
190,18,0,68
191,14,0,59
192,22,0,96
193,21,0,86
194,16,0,60
195,16,0,54
196,17,0,68
197,13,0,43
198,10,0,50
199,19,0,78
