epoch,score,lines,actions
1,12,0,86
2,15,0,107
3,12,0,75
4,16,0,144
5,17,0,135
6,15,0,96
7,13,0,88
8,17,0,105
9,13,0,94
10,19,0,162
11,17,0,115
12,12,0,72
13,14,0,113
14,15,0,129
15,19,0,196
16,12,0,53
17,14,0,104
18,14,0,107
19,15,0,93
20,10,0,83
21,12,0,77
22,11,0,80
23,9,0,60
24,14,0,119
25,21,0,174
26,11,0,79
27,20,0,168
28,16,0,97
29,15,0,96
30,13,0,93
31,11,0,45
32,11,0,47
33,16,0,98
34,10,0,54
35,13,0,95
36,10,0,53
37,12,0,87
38,12,0,78
39,12,0,78
40,15,0,121
41,11,0,44
42,18,0,149
43,14,0,112
44,17,0,125
45,14,0,96
46,13,0,104
47,17,0,149
48,11,0,70
49,13,0,114
50,20,0,144
51,12,0,103
52,11,0,100
53,20,0,175
54,15,0,121
55,15,0,100
56,16,0,120
57,12,0,86
58,9,0,64
59,15,0,115
60,13,0,84
61,16,0,110
62,12,0,79
63,16,0,133
64,13,0,85
65,13,0,104
66,16,0,84
67,18,0,124
68,15,0,141
69,16,0,90
70,14,0,135
71,14,0,123
72,18,0,158
73,15,0,90
74,16,0,132
75,13,0,110
76,14,0,102
77,11,0,82
78,9,0,43
79,16,0,107
80,12,0,89
81,14,0,102
82,15,0,113
83,16,0,92
84,17,0,115
85,18,0,116
86,17,0,133
87,15,0,120
88,15,0,122
89,14,0,77
90,15,0,197
91,15,0,160
92,12,0,102
93,16,0,110
94,11,0,77
95,17,0,115
96,28,1,170
97,14,0,131
98,12,0,73
99,15,0,110
100,13,0,60
101,14,0,105
102,15,0,113
103,13,0,95
104,14,0,138
105,15,0,104
106,12,0,65
107,13,0,93
108,10,0,70
109,13,0,106
110,11,0,39
111,17,0,133
112,13,0,114
113,12,0,74
114,16,0,128
115,15,0,98
116,16,0,132
117,20,0,143
118,13,0,101
119,12,0,73
120,16,0,108
121,13,0,114
122,15,0,101
123,14,0,121
124,11,0,71
125,13,0,96
126,10,0,76
127,15,0,104
128,11,0,114
129,13,0,82
130,13,0,99
131,15,0,97
132,14,0,112
133,13,0,90
134,12,0,94
135,15,0,119
136,12,0,70
137,15,0,139
138,15,0,98
139,15,0,125
140,13,0,83
141,15,0,129
142,13,0,98
143,15,0,109
144,12,0,77
145,19,0,168
146,18,0,89
147,17,0,125
148,17,0,144
149,19,0,167
150,16,0,114
151,12,0,60
152,15,0,105
153,10,0,57
154,16,0,147
155,17,0,131
156,17,0,129
157,16,0,145
158,16,0,123
159,12,0,99
160,14,0,111
161,18,0,128
162,26,1,130
163,15,0,136
164,12,0,98
165,13,0,62
166,17,0,146
167,14,0,94
168,13,0,101
169,15,0,126
170,20,0,192
171,10,0,48
172,15,0,108
173,15,0,102
174,14,0,53
175,17,0,115
176,12,0,104
177,15,0,112
178,20,0,164
179,14,0,90
180,15,0,118
181,18,0,160
182,18,0,157
183,16,0,125
184,12,0,66
185,19,0,152
186,13,0,90
187,11,0,79
188,18,0,160
189,13,0,90
190,14,0,90
191,19,0,127
192,16,0,111
193,21,0,154
194,15,0,92
195,18,0,173
196,14,0,106
197,18,0,138
198,15,0,123
199,11,0,70
200,17,0,139
201,19,0,141
202,17,0,148
203,11,0,82
204,13,0,78
205,14,0,95
206,17,0,140
207,13,0,67
208,12,0,103
209,19,0,152
210,11,0,69
211,13,0,63
212,16,0,117
213,14,0,121
214,16,0,122
215,16,0,125
216,16,0,160
217,16,0,112
218,13,0,100
219,18,0,148
220,16,0,139
221,15,0,164
222,16,0,68
223,15,0,90
224,15,0,113
225,13,0,117
226,12,0,103
227,12,0,71
228,16,0,128
229,15,0,112
230,14,0,103
231,14,0,130
232,13,0,109
233,13,0,106
234,11,0,94
235,13,0,81
236,19,0,168
237,14,0,99
238,16,0,119
239,12,0,82
240,15,0,126
241,17,0,153
242,15,0,116
243,18,0,163
244,16,0,110
245,17,0,132
246,19,0,175
247,10,0,46
248,16,0,145
249,15,0,106
250,14,0,92
251,17,0,117
252,11,0,86
253,15,0,127
254,12,0,72
255,19,0,153
256,19,0,108
257,20,0,165
258,16,0,128
259,17,0,190
260,13,0,92
261,15,0,132
262,15,0,127
263,19,0,138
264,13,0,75
265,12,0,87
266,16,0,121
267,18,0,154
268,12,0,103
269,11,0,78
270,19,0,181
271,15,0,141
272,19,0,160
273,17,0,156
274,13,0,93
275,20,0,205
276,15,0,111
277,17,0,158
278,13,0,102
279,17,0,129
280,17,0,126
281,17,0,180
282,19,0,179
283,14,0,48
284,16,0,147
285,14,0,119
286,20,0,153
287,13,0,67
288,13,0,109
289,20,0,183
290,16,0,116
291,19,0,121
292,14,0,90
293,10,0,58
294,14,0,116
295,12,0,84
296,18,0,137
297,19,0,206
298,15,0,135
299,18,0,128
300,11,0,93
301,17,0,155
302,14,0,75
303,16,0,136
304,19,0,134
305,17,0,130
306,14,0,93
307,15,0,115
308,16,0,138
309,15,0,129
310,11,0,78
311,15,0,98
312,13,0,117
313,15,0,120
314,16,0,130
315,18,0,133
316,12,0,74
317,15,0,117
318,13,0,105
319,13,0,107
320,12,0,90
321,18,0,142
322,16,0,160
323,17,0,123
324,14,0,83
325,17,0,135
326,18,0,179
327,14,0,118
328,18,0,184
329,18,0,170
330,11,0,71
331,15,0,116
332,17,0,120
333,14,0,129
334,16,0,153
335,16,0,90
336,15,0,118
337,13,0,129
338,19,0,126
339,17,0,167
340,13,0,93
341,16,0,156
342,16,0,147
343,16,0,141
344,18,0,177
345,14,0,94
346,19,0,148
347,14,0,130
348,15,0,105
349,16,0,116
350,14,0,105
351,17,0,133
352,14,0,119
353,17,0,139
354,11,0,64
355,14,0,151
356,16,0,149
357,16,0,131
358,12,0,114
359,12,0,121
360,11,0,79
361,18,0,145
362,14,0,101
363,18,0,154
364,16,0,141
365,18,0,168
366,11,0,108
367,13,0,123
368,13,0,124
369,13,0,86
370,16,0,102
371,16,0,119
372,14,0,106
373,13,0,91
374,17,0,150
375,21,0,187
376,10,0,81
377,18,0,139
378,17,0,139
379,16,0,162
380,16,0,129
381,19,0,164
382,16,0,90
383,16,0,172
384,15,0,92
385,17,0,124
386,14,0,122
387,16,0,135
