epoch,score,lines,actions
1,12,0,86
2,15,0,107
3,12,0,75
4,16,0,144
5,17,0,135
6,15,0,96
7,13,0,88
8,17,0,105
9,13,0,94
10,19,0,162
11,17,0,115
12,13,0,74
13,14,0,117
14,14,0,113
15,15,0,163
16,13,0,64
17,16,0,116
18,12,0,77
19,17,0,119
20,12,0,104
21,12,0,82
22,13,0,100
23,16,0,106
24,12,0,58
25,17,0,125
26,15,0,141
27,18,0,144
28,17,0,115
29,11,0,81
30,15,0,112
31,15,0,93
32,15,0,89
33,12,0,63
34,12,0,82
35,13,0,61
36,15,0,88
37,10,0,66
38,14,0,78
39,15,0,95
40,17,0,145
41,12,0,43
42,11,0,61
43,11,0,102
44,11,0,71
45,11,0,76
46,13,0,91
47,15,0,109
48,15,0,104
49,10,0,38
50,17,0,166
51,12,0,90
52,16,0,80
53,16,0,108
54,17,0,151
55,13,0,94
56,12,0,107
57,10,0,68
58,15,0,86
59,16,0,108
60,14,0,99
61,12,0,105
62,11,0,53
63,12,0,45
64,9,0,50
65,15,0,109
66,14,0,82
67,14,0,101
68,18,0,159
69,15,0,85
70,13,0,81
71,11,0,75
72,15,0,89
73,14,0,76
74,16,0,112
75,11,0,71
76,13,0,82
77,13,0,74
78,13,0,108
79,13,0,63
80,14,0,78
81,13,0,83
82,11,0,63
83,13,0,73
84,10,0,74
85,13,0,87
86,11,0,44
87,11,0,72
88,13,0,90
89,14,0,87
90,12,0,59
91,15,0,108
92,14,0,75
93,12,0,65
94,13,0,71
95,15,0,84
96,16,0,114
97,12,0,78
98,16,0,88
99,13,0,104
100,16,0,81
101,15,0,108
102,14,0,114
103,16,0,111
104,13,0,91
105,12,0,75
106,15,0,76
107,12,0,57
108,12,0,79
109,13,0,77
110,14,0,88
111,12,0,59
112,13,0,117
113,11,0,65
114,12,0,66
115,12,0,69
116,13,0,62
117,16,0,103
118,15,0,120
119,12,0,70
120,14,0,130
121,11,0,89
122,12,0,58
123,12,0,61
124,13,0,98
125,17,0,137
126,13,0,63
127,15,0,102
128,16,0,92
129,13,0,85
130,20,0,149
131,11,0,75
132,14,0,101
133,14,0,87
134,19,0,141
135,13,0,94
136,18,0,112
137,12,0,74
138,12,0,70
139,15,0,95
140,14,0,95
141,15,0,107
142,15,0,97
143,13,0,83
144,13,0,99
145,17,0,129
146,19,0,131
147,14,0,72
148,19,0,114
149,14,0,78
150,13,0,64
151,15,0,81
152,12,0,71
153,10,0,50
154,13,0,94
155,17,0,123
156,18,0,101
157,13,0,73
158,17,0,121
159,12,0,56
160,17,0,105
161,13,0,54
162,14,0,64
163,12,0,87
164,13,0,86
165,14,0,112
166,13,0,67
167,14,0,68
168,14,0,69
169,19,0,138
170,14,0,105
171,13,0,52
172,12,0,74
173,17,0,112
174,11,0,46
175,13,0,80
176,20,0,124
177,11,0,56
178,15,0,91
179,16,0,87
180,15,0,98
181,11,0,56
182,15,0,97
183,13,0,66
184,10,0,59
185,17,0,89
186,16,0,115
187,13,0,54
188,15,0,83
189,10,0,44
190,17,0,144
191,13,0,106
192,12,0,55
193,12,0,55
194,13,0,52
195,12,0,60
196,13,0,77
197,14,0,86
198,18,0,103
199,12,0,61
200,13,0,46
201,12,0,57
202,13,0,87
203,16,0,104
204,12,0,33
205,12,0,60
206,17,0,125
207,13,0,54
208,13,0,37
209,10,0,48
210,18,0,157
211,15,0,90
212,14,0,90
213,13,0,62
214,15,0,68
215,12,0,60
216,19,0,139
217,20,0,158
218,18,0,132
219,16,0,112
220,19,0,119
221,15,0,131
222,12,0,79
223,17,0,101
224,15,0,91
225,11,0,46
226,15,0,84
227,13,0,64
228,15,0,68
229,21,0,115
230,15,0,105
231,12,0,54
232,14,0,103
233,12,0,51
234,15,0,89
235,16,0,111
236,12,0,67
237,16,0,99
238,14,0,82
239,17,0,98
240,10,0,62
241,13,0,49
242,14,0,79
243,18,0,109
244,15,0,77
245,14,0,91
246,13,0,74
247,11,0,67
248,15,0,92
249,17,0,107
250,13,0,59
251,14,0,78
252,15,0,77
253,15,0,112
254,16,0,101
255,15,0,88
256,10,0,26
257,15,0,79
258,13,0,67
259,16,0,104
260,11,0,34
261,13,0,37
262,16,0,107
263,17,0,101
264,14,0,66
265,15,0,86
266,13,0,58
267,12,0,55
268,11,0,31
269,15,0,92
270,15,0,71
271,13,0,51
272,13,0,80
273,12,0,66
274,13,0,84
275,15,0,68
276,14,0,64
277,14,0,68
278,18,0,103
279,14,0,110
280,23,0,161
281,14,0,58
282,16,0,83
283,16,0,105
284,15,0,73
285,16,0,82
286,15,0,78
287,12,0,59
288,17,0,104
289,15,0,53
290,11,0,41
291,15,0,91
292,13,0,56
293,12,0,75
294,13,0,81
295,13,0,68
296,16,0,84
297,17,0,103
298,17,0,105
299,12,0,49
300,14,0,100
301,15,0,94
302,13,0,70
303,16,0,87
304,16,0,103
305,13,0,71
306,14,0,67
307,17,0,123
308,14,0,88
309,13,0,75
310,12,0,55
311,17,0,89
312,13,0,74
313,15,0,95
314,14,0,70
315,12,0,51
316,18,0,118
317,13,0,44
318,18,0,152
319,14,0,57
320,17,0,94
321,15,0,80
322,18,0,132
323,13,0,67
324,16,0,69
325,14,0,66
326,16,0,105
327,14,0,65
328,16,0,116
329,12,0,87
330,12,0,54
331,17,0,91
332,12,0,76
333,9,0,32
334,15,0,68
335,12,0,51
336,12,0,73
337,16,0,82
338,17,0,113
339,15,0,99
340,18,0,104
341,12,0,54
342,12,0,56
343,16,0,127
344,15,0,96
345,15,0,99
346,17,0,99
347,15,0,67
348,16,0,71
349,20,0,140
350,19,0,129
351,16,0,114
352,9,0,48
353,11,0,44
354,14,0,73
355,14,0,79
356,16,0,91
357,10,0,26
358,13,0,55
359,11,0,43
360,14,0,78
361,16,0,109
362,12,0,60
363,12,0,49
364,11,0,44
365,15,0,98
366,15,0,101
367,14,0,60
368,16,0,81
369,17,0,97
370,15,0,66
371,10,0,33
372,15,0,78
373,14,0,68
374,11,0,31
375,15,0,68
376,14,0,72
377,12,0,44
378,17,0,85
379,13,0,49
380,14,0,76
381,14,0,66
382,13,0,70
383,14,0,64
384,14,0,65
385,14,0,92
386,13,0,78
387,18,0,102
